WKT,nama,deskripsi
"POINT (107.6215321 -7.1340702)",Kabupaten Bandung,
"POINT (107.4919767 -6.865221399999999)",Kabupaten Bandung Barat,
"POINT (107.1735638 -6.366722999999999)",Kabupaten Bekasi,
"POINT (106.6291304 -6.5517758)",Kabupaten Bogor,
"POINT (108.3492543 -7.332077300000001)",Kabupaten Ciamis,
"POINT (107.1735638 -6.366722999999999)",Kabupaten Bekasi,
"POINT (106.6291304 -6.5517758)",Kabupaten Bogor,
"POINT (108.4876228 -6.758942999999999)",Kabupaten Cirebon,
"POINT (107.763621 -7.501220399999999)",Kabupaten Garut,
"POINT (108.3265323 -6.3281873)",Kabupaten Indramayu,
"POINT (107.3250988 -6.3022481)",Karawang,
"POINT (108.5700636 -7.0138053)",Kabupaten Kuningan,
"POINT (108.2852049 -6.7790605)",Kabupaten Majalengka,
"POINT (108.4988269 -7.615061099999999)",Kabupaten Pangandaran,
"POINT (107.4321959 -6.5649241)",Kabupaten Purwakarta,
"POINT (107.7680748 -6.5622871)",Kabupaten Subang,
"POINT (106.9474101 -6.8791499)",Kabupaten Sukabumi,
"POINT (107.9531836 -6.832858)",Kabupaten Sumedang,
"POINT (108.1428669 -7.6513306)",Kabupaten Tasikmalaya,
